species_work,priority,plant_growth_form,life_history,woodiness,fruit_type,fruit_fleshiness,fruit_fleshiness_source,fruit_colour,growth_substrate,plant_height,seed_dry_mass,leaf_mass_per_area,leaf_length,leaf_width,leaf_area,leaf_N_per_dry_mass,seed_length,seed_width,fruit_length,fruit_width,wood_density
Erechtites valerianifolius,,herb,annual,herbaceous,achene nut,dry,AusTraits consensus,,,1.5,,,65.1,34.6,,,,,2.98,,
Eriachne glabrata,,graminoid,perennial,herbaceous,caryopsis,dry,Inferred from fruit type,,,0.4,,,28.3,0.88,,,1.73,,,,
Eriachne insularis,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.8,,,63.2,1.41,58.5,,1.64,,1.64,,
Eriocaulon australe,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,1,0.141,,399,4.58,,,0.766,0.474,,,
Eucalyptus bancroftii,,tree,perennial,woody,capsule,dry,Inferred from fruit type,,,30,0.607,223,136,26.7,4650,14.3,1.08,,7.3,7.54,0.764
Eucalyptus planchoniana,,tree,perennial,woody,capsule,dry,AusTraits consensus,,,25,14.4,214,143,24.7,3060,9.1,3.66,2.62,21,19.7,0.791
Eucalyptus siderophloia,,tree,perennial,woody,capsule,dry,Inferred from fruit type,,,45,0.916,173,114,16.2,2850,12.2,1.58,,6.62,5.92,0.951
Eucalyptus tindaliae,,tree,perennial,woody,capsule,dry,Inferred from fruit type,,,30,2.94,192,99.9,21.3,2160,9.7,1.73,,5.79,8.24,0.691
Galinsoga parviflora,,herb,annual,herbaceous,achene,dry,Inferred from fruit type,black,,0.6,0.21757753112251252,21.200132368920354,29.1,16.5,,,,,1.73,,
Gazania linearis,,herb,perennial,semi-woody,achene,dry,Inferred from fruit type,white,,0.3,,,123,11.9,,,,,2.3,,
Corunastylis psammophila,,herb,perennial,herbaceous,,,,,,,,,158,,,,,,,,
Guioa acutifolia,,tree,perennial,woody,capsule,dry,AusTraits consensus,red yellow,,22,24.4,99.7,98.1,34.2,4650,17.7,5.23,4.47,11,14.8,0.629
Hydrocotyle verticillata,,herb,perennial,herbaceous,mericarp schizocarp,,,,aquatic,0.25,0.853,,,33.1,,,,,2,2.74,
Hypochaeris albiflora,,herb,perennial,herbaceous,achene,dry,Inferred from fruit type,,,0.4,0.4,,86.6,21.2,53,,,,7.75,,
Jacksonia stackhousei,,shrub,perennial,woody,legume,dry,Inferred from fruit type,,,0.5,,201,,,55,,,,5,,0.709
Justicia betonica,,herb,perennial,semi-woody,capsule,dry,AusTraits consensus,,,2,6.293737643244818,,,,,,,,8.94,,
Lepironia articulata,,graminoid,perennial,herbaceous,nut,dry,Inferred from fruit type,brown,,2,2.86,,,,,,,,4.24,2.3,
Leptospermum liversidgei,,shrub,perennial,woody,capsule,dry,AusTraits consensus,,,4,0.168,115,5.92,1.41,6.63,11,,,,8.37,
Leptospermum speciosum,,shrub tree,perennial,woody,capsule,dry,Inferred from fruit type,,,3,0.884,,24.5,7.07,,10,,,,,
Lindsaea fraseri,,fern,perennial,herbaceous,,,,,terrestrial,,,,15.5,8.66,,,,,,,
Lindsaea incisa,,fern,perennial,herbaceous,,,,,terrestrial,,,,3.16,3.46,,,,,,,
Lycopodiella cernua,,herb,perennial,herbaceous,,,,,terrestrial,0.5,,,2.96,0.376,,,,,,,
Lycopodiella serpentina,,herb,perennial,herbaceous,,,,,terrestrial,0.05,,,3.53,0.707,,,,,,,
Macrotyloma axillare,,climber_herbaceous,perennial,herbaceous,legume,dry,Inferred from fruit type,,,,9.490282884175775,,,,,,,,,,
Macrotyloma uniflorum,,climber_herbaceous,perennial,herbaceous,legume,dry,AusTraits consensus,,,0.6,30.600000000000005,,31.6,17.3,,,4.9,3.46,37.9,5.66,
Malvaviscus arboreus,,shrub,perennial,woody,,fleshy,new flora data,red,,5,,37.48379115534544,120,,,,,,,17.3,
Leichhardtia glandulifera,,climber_woody,perennial,woody,follicle,dry,AusTraits consensus,,,,,19.4,83.7,52,2700,,4.47,2.45,70,50,0.464
Melaleuca linariifolia,,shrub tree,perennial,woody,capsule,dry,Inferred from fruit type,,,10,0.0195,132,21.6,1.94,,17,,,3.16,3.14,0.676
Melaleuca nodosa,,shrub,perennial,woody,capsule,dry,AusTraits consensus,,,4,0.0784,259,20,1.73,19.1,9.84,0.86,0.5,2.45,2.45,0.615
Melaleuca sieberi,,shrub tree,perennial,woody,capsule,dry,Inferred from fruit type,,,5,0.36,360,7.75,2,,9.2,,,,3.08,0.605
Melichrus procumbens,,shrub,perennial,woody,drupe,fleshy,Inferred from fruit type,green red,,0.2,,,17.5,2.19,,,,,2.83,,
Microsorum maximum,,fern,perennial,herbaceous,,,,,,,,,1160,283,,,,,,,
Myrsine arenaria,,shrub tree,perennial,woody,drupe,fleshy,AusTraits consensus,,,10,,,99.5,39.9,,,2,2,,,
Nymphaea caerulea,,herb,annual perennial,herbaceous,berry,fleshy,Inferred from fruit type,,aquatic,0.3,,,,346,,,1.73,1,,,
Oenothera indecora,,herb,annual,herbaceous,capsule,dry,Inferred from fruit type,,,0.6,0.2554723396663044,90.36951149627599,38,7.62,,,,,23.8,1.82,
Olax retusa,,shrub,perennial,woody,drupe,fleshy,AusTraits consensus,,,0.6,,84.6,6.62,2.45,25.8,,,,5.92,4,0.57
Ophioglossum pendulum,,fern,perennial,herbaceous,,,,,epiphyte,,,,707,15.7,,,,,,,
Panicum lachnophyllum,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,0.3,,,38.7,5.2,207,,,,,,
Paspalum mandiocanum,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.25,,,173,12.8,1500,,,,,,
Persicaria orientalis,,herb,annual perennial,herbaceous,achene nut,dry,Inferred from fruit type,black brown,,2,6.606827896976528,44.89539373260304,117,61.2,,,,,2.56,2.48,
Persicaria strigosa,,herb,annual,herbaceous,achene nut,dry,AusTraits consensus,brown red,,0.5,0.86,,51,21.9,1250,,,,2.63,1.99,
Phaius australis,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,2,,,458,54.8,,,,,,,
Phaius bernaysii,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,2,,,,,,,,,,,
Philotheca queenslandica,,shrub,perennial,woody,follicle mericarp,dry,Inferred from fruit type,,,1,,185,16.4,3.24,68.8,,,,6.32,,0.452
Phlebodium aureum,,fern,perennial,herbaceous,,,,,epiphyte,0.75,,,250,30,,,,,,,
Phyla canescens,,herb,perennial,herbaceous,mericarp,,,,,,,,16.7,6.31,,,,,1.46,1.46,
Phyllostachys aurea,,palmoid,perennial,semi-woody,caryopsis,dry,Inferred from fruit type,,,5,,,86.6,11.5,,,,,,,
Pinus clausa,,tree,perennial,woody,,,,,,10,8.92522698840782,180.9817266333017,,,,,,,,,
Podolepis longipedata,,herb,annual,herbaceous,achene,dry,Inferred from fruit type,,,0.6,0.807,,41.6,3.94,,,,,2,,
Psidium cattleyanum,,shrub tree,perennial,woody,berry,fleshy,AusTraits consensus,,,10,,92.6,52.9,31.6,,,3,,25.7,20,
Pterostylis hispidula,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,,,,20.6,33.1,,,,,,,
Pultenaea villosa,,shrub,perennial,woody,legume,dry,Inferred from fruit type,,,2,1.71,66.3,5.48,2.12,5.24,26,2.27,1.48,4.9,,0.646
Rhinerrhiza divitiflora,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,epiphyte lithophyte,0.3,,,99,26.6,,,,,,,
Salix nigra,,shrub tree,perennial,woody,capsule,dry,Inferred from fruit type,,,20,0.08282059502480336,60.23275091760897,63.2,10.9,,,,,4.97,,
Sarcopteryx stipata,,tree,perennial,woody,capsule,dry,AusTraits consensus,pink red,,40,,75.7,61.2,22.1,2150,17.9,5,5,16.3,13.6,0.839
Schinus terebinthifolia,,shrub tree,perennial,woody,drupe,fleshy,Inferred from fruit type,red,,6,17.329878712181753,91.8687247128179,27.4,17.3,,,,,,,
Schoenus ornithopodioides,,graminoid,perennial,herbaceous,nut,dry,Inferred from fruit type,,,,,,,,,,,,,,
Schoenus scabripes,,graminoid,perennial,herbaceous,nut,dry,Inferred from fruit type,brown red yellow,,1,,,2,,,,,,,,
Solanum capsicoides,,herb,annual perennial,semi-woody,berry,fleshy,AusTraits consensus,orange red,,2,2.7587600884634162,,150,104,,,5,4.9,26.5,26.5,
Sorghum x almum,,graminoid,annual perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,3,5.8,,548,31.6,12700,,,,3.38,,
Spiranthes sinensis,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.45,,,60.7,4,,,,,,,
Syncarpia hillii,,tree,perennial,woody,capsule,dry,AusTraits consensus,,,40,0.951,,,,,,,,,,0.684
Syzygium luehmannii,,tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,pink red,,35,20.2,86,44.5,15.6,517,,3.16,1.41,9.55,8.24,0.601
Taeniophyllum muelleri,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,epiphyte,,,,,,,,,,,,
Trachymene incisa,,herb,perennial,herbaceous,mericarp,,,,,0.6,0.579,,,,,,,,,,
Utricularia bifida,,herb,annual,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.15,0.0464,,,,,,,,,,
Utricularia gibba,,herb,annual perennial,herbaceous,capsule,dry,Inferred from fruit type,,aquatic,,0.046,5.250000000000012,4.26,,,,,0.894,2.45,2.45,
Utricularia uliginosa,,herb,annual perennial,herbaceous,capsule,dry,AusTraits consensus,,aquatic terrestrial,0.08,,,28.9,3,,,,,2.83,2.83,
Verbena litoralis,,herb,perennial,herbaceous,mericarp,,,,,1.5,0.24360000000000004,,42.5,14.7,,,,,1.73,,
Xanthorrhoea macronema,,palmoid,perennial,semi-woody,capsule,dry,AusTraits consensus,,,2,25.2,,,2.84,,,,,,,
Zeuxine oblonga,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.5,,,52.6,21.6,,,,,,,
Abrodictyum caudatum,,fern,perennial,herbaceous,,,,,epiphyte,,,,84.3,20,,,,,,,
Alectryon coriaceus,,shrub tree,perennial,woody,capsule,dry,AusTraits consensus,,,12,32.8,152,69.3,37.4,2850,,4.9,4,7.22,7.72,0.625
Alpinia zerumbet,,herb,perennial,herbaceous,berry,fleshy,Inferred from fruit type,,,1.2,17.499199999999995,,,,,,,,,,
Amyema cambagei,,shrub,perennial,woody,berry drupe,fleshy,AusTraits consensus,pink red,epiphyte terrestrial,,,,94.9,1.14,,,,,5.48,5.48,
Angophora woodsiana,,tree,perennial,woody,capsule,dry,AusTraits consensus,,,20,25.2,131,111,24.4,2270,,,,12.2,12.2,0.761
Aotus lanigera,,shrub,perennial,woody,legume,dry,Inferred from fruit type,,,2,2.78,114,15.8,2.83,32.8,,2.22,1.44,8.94,,
Asparagus virgatus,,herb,perennial,semi-woody,berry,fleshy,Inferred from fruit type,orange,,0.8,17.35319940997963,,11,0.707,,,,2.96,4.9,4.9,
Astrotricha glabra,,shrub,perennial,woody,,,,,,5,,,,,,,,,,,
Atractocarpus chartaceus,,shrub tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,red,,6,33.5,67.8,86.6,12.2,2010,,4.16,2.45,17.3,13.4,0.672
Baccharis halimifolia,,shrub,perennial,woody,achene,dry,Inferred from fruit type,,,6,0.2871307590644444,94.38999999999969,45.8,20,,,,,1.3,,
Banksia robur,,shrub,perennial,woody,follicle,dry,AusTraits consensus,,,2,25.3,204,190,78.6,12500,6.59,13.5,4.47,12.6,4.9,0.58
Bossiaea brownii,,shrub,perennial,woody,legume,dry,Inferred from fruit type,,,3,12.2,,,,,,,,,,
Bossiaea concolor,,shrub,perennial,woody,legume,dry,Inferred from fruit type,,,,6.38,,,,,,,,,,
Bulbophyllum minutissimum,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,epiphyte lithophyte,,,,0.775,0.245,,,,,,,
Burmannia disticha,,herb,annual,herbaceous,capsule,dry,Inferred from fruit type,,,0.7,0.006,,36.1,4.47,,,,,11,,
Canarium australasicum,,tree,perennial,woody,drupe,fleshy,AusTraits consensus,blue,,40,679,123,80.6,31.6,1860,17.2,10.2,4.47,24.5,10,0.613
Capillipedium spicigerum,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.5,0.286,,211,6.19,1080,,2.18,,2.18,,
Celtis sinensis,,tree,perennial,woody,drupe,fleshy,Inferred from fruit type,black orange,,20,37.56000000000001,47.97163472726755,63.4,36.7,,,,,7.71,7.71,
Centranthera cochinchinensis,,herb,annual,herbaceous,capsule,dry,Inferred from fruit type,,,0.55,0.0307,,33.2,2.6,,,,,6.48,,
Chiloglottis diphylla,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,,,,42.4,12.2,,,,,,,
Coreopsis lanceolata,,herb,perennial,herbaceous,achene,dry,Inferred from fruit type,black,,0.75,,,41.3,14.1,,,,,2.51,,
Corybas barbarae,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,,,,23.5,25,,,,,,,
Cryptocarya macdonaldii,,tree,perennial,woody,berry drupe,fleshy,AusTraits consensus,black,,30,,95,108,38.7,2570,,9.92,6.93,15,11,
Cyperus bowmanni,,graminoid,perennial,herbaceous,nut,dry,AusTraits consensus,brown,,0.45,,,,1.41,,,,,1.73,,
Dendrobium aemulum,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,epiphyte,0.3,,,39.3,19.8,,,,,,,
Dendrobium melaleucaphilum,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,epiphyte lithophyte,,,,63.6,19.4,,,,,,,
Dendrobium tetragonum,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,epiphyte,,0.0027732652235226266,,49,19.4,333,,,,,,
Dysoxylum rufum,,tree,perennial,woody,capsule,dry,AusTraits consensus,orange yellow,,30,108,56.1,96,26.3,,,8,6.48,26.3,23.9,0.54
Epidendrum x obrienianum,,herb,perennial,herbaceous,,,,,,,,,,,,,,,,,
Eragrostis parviflora,,graminoid,annual perennial,herbaceous,caryopsis,dry,AusTraits consensus,brown red,,1.35,0.0721,115.0747986191024,134,3.16,378,,0.5,,0.632,,
Eriocaulon scariosum,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.3,0.0325,,32.7,2.3,,,0.454,0.338,,,
Glossodia minor,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.16,,11.9,21.8,8.94,445,,,,,,
Glycine cyrtoloba,,climber_herbaceous,perennial,herbaceous,legume,dry,Inferred from fruit type,purple,,,,,21.7,6.71,,,4.47,2.45,20,2.83,
Gomphocarpus physocarpus,,shrub,annual perennial,woody,follicle,dry,AusTraits consensus,,,2,4.903425506193146,,64.3,8.04,,,7.75,2,61.2,48.8,
Gompholobium pinnatum,,shrub,perennial,woody,legume,dry,Inferred from fruit type,,,0.3,4.01,131,8.49,0.866,150,16,,,7.75,,0.805
Gonocarpus chinensis,,herb,perennial,herbaceous,nut,dry,AusTraits consensus,grey,,0.45,0.22,,16.1,3.09,,,,,0.837,,
Goodenia paniculata,,herb,annual perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.5,,,37.8,7.75,,,,0.5,5.48,5.48,
Grevillea reptans,,shrub,perennial,woody,follicle,dry,AusTraits consensus,,,0.3,,190,84.9,1.41,128,,,,7.94,,0.598
Gymnostachys anceps,,herb,perennial,herbaceous,berry,fleshy,AusTraits consensus,black blue,,2,172,242,1500,11.2,9180,11.3,10,,14.4,8.94,
Hibiscus diversifolius,,shrub,perennial,woody,capsule,dry,AusTraits consensus,,aquatic,2.5,11.4,,60.8,69.3,,,3.46,1.41,21.8,15,
Hypolepis muelleri,,fern,perennial,herbaceous,,,,,terrestrial,1,,,59.9,26.3,,,,,,,
Laxmannia compacta,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.09,,,14.3,1.41,,,,,,,
Laxmannia gracilis,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.4,0.434,196,23.3,1,8,,2.45,,2.45,2.45,
Leucopogon pimeleoides,,shrub,perennial,woody,drupe,fleshy,Inferred from fruit type,red,,2,4.52,,,,,,,,,,
Liparophyllum exaltatum,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,aquatic,15,1.31,,85,,11800,,2.17,2,8.06,,
Lomandra laxa,,graminoid,perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.4,,,283,2.83,,,,,,,
Ludwigia peploides,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,aquatic,0.1,0.329,34.5,22.3,10.3,780,,,,18.6,2.83,
Lycopus australis,,herb,perennial,herbaceous,mericarp,dry,AusTraits consensus,,,1.5,0.482,67.5,77.5,14.1,2470,,1.5,1.2,2,,
Melicope elleryana,,shrub tree,perennial,woody,capsule follicle mericarp,dry,AusTraits consensus,brown grey,,20,6.92,61.6,112,56,15000,20,4.2,3.46,8.14,,0.427
Mischocarpus australis,,tree,perennial,woody,capsule,dry,AusTraits consensus,orange red,,7,,141,88.3,29.1,7960,,6.44,4.47,12,6.93,0.649
Mitrasacme polymorpha,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.3,0.0305,95.7,6.08,1.64,5.98,,,,2.21,3.09,
Montanoa hibiscifolia,,shrub,perennial,woody,achene nut,dry,AusTraits consensus,,,4,0.85104499995221,,232,216,,,3,,10,1.73,
Muellerina bidwillii,,shrub,perennial,woody,berry,fleshy,Inferred from fruit type,pink red,terrestrial,,,,22.7,2.28,,,,,7.14,7.14,
Neonotonia wightii,,climber_herbaceous,perennial,semi-woody,legume,dry,Inferred from fruit type,black,,1,6.21721451026617,,31.6,20.5,,,,,22.9,,
Oberonia palmicola,,herb,perennial,herbaceous,,,,,epiphyte,,,,61.9,5.33,,,,,,,
Ochna serrulata,,shrub,perennial,woody,berry drupe,fleshy,AusTraits consensus,black red,,3,83.8,49.5,39.4,12.8,558,,7.07,,6.32,,0.607
Olax stricta,,shrub,perennial,woody,drupe,fleshy,AusTraits consensus,,,2.3,11.3,182,8.42,1.89,20.6,,,,5.77,5,0.638
Olearia hygrophila,,shrub,perennial,woody,achene,dry,Inferred from fruit type,,,2,,,,,,,,,,,
Panicum obseptum,,graminoid,perennial,herbaceous,caryopsis,dry,Inferred from fruit type,,aquatic semiaquatic,0.3,,,31.6,2.36,,,,,,,
Paspalum urvillei,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,2.5,0.8,60.066703755846426,346,10.7,3480,,,,,,
Pilidiostigma glabrum,,shrub tree,perennial,woody,berry,fleshy,AusTraits consensus,black purple,,12,,58.2,44.7,18.7,614,,4.47,3.46,15.4,12.8,0.589
Plectranthus verticillatus,,herb,perennial,herbaceous,,,,,,0.25,,,25.3,21.9,,,,,,,
Podolepis neglecta,,herb,perennial,herbaceous,achene,dry,Inferred from fruit type,,,0.65,0.846,,120,,,,,,,,
Pomax umbellata,,shrub,perennial,woody,capsule,dry,Inferred from fruit type,,,0.4,1.11,40.8,14.4,6.52,70,17,2.45,,4,,
Setaria sphacelata,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.8,0.73,48.98676816917253,221,5.39,1690,,,,,,
Sorghum arundinaceum,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,4,7.94,,206,18.7,10100,,,,2.65,,
Sporadanthus caudatus,,graminoid,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,2,,,5,,,,,,1.64,1.64,
Sporadanthus interruptus,,graminoid,perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.8,,,5.9,,,,0.8,,1,,
Sporobolus creber,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,brown,,1.4,0.0835,,177,2.45,390,,0.652,,0.682,0.548,
Sprengelia sprengelioides,,shrub,perennial,woody,capsule,dry,Inferred from fruit type,,,1,0.0494,72.2,6.93,2.19,24.6,7.3,,,,,0.547
Stylidium ornatum,,herb,annual perennial,herbaceous,capsule,dry,Inferred from fruit type,,,0.3,,,,,,,,,,,
Tamarix aphylla,,tree,perennial,woody,capsule,dry,Inferred from fruit type,,,12,0.8818703768579281,,1.41,,,,,,2.45,,
Tecoma capensis,,shrub,perennial,woody,capsule,dry,Inferred from fruit type,,,4,2.1476,,20,13.3,,,15,,45.8,7,
Tetratheca thymifolia,,shrub,perennial,woody,capsule,dry,Inferred from fruit type,,,1,,88.8,9.37,4,15.8,8.12,2.74,,4.9,,
Thelymitra longifolia,,herb,perennial,herbaceous,,,,,,1,,58.24726465469412,,,,,,,,,
Thelymitra malvina,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.75,,,182,10.3,,,,,,,
Thelymitra purpurata,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.6,,,158,6.71,,,,,,,
Utricularia aurea,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,aquatic,,,,28.3,,,,,,,,
Viola banksii,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,green white,,0.15,,,19.6,33.2,,,2.12,,4.9,,
Xylomelum salicinum,,tree,perennial,woody,follicle,dry,AusTraits consensus,brown,,14,,149,134,31,1820,,75,,90,37.4,0.528
Zieria laxiflora,,shrub,perennial,woody,follicle mericarp,dry,Inferred from fruit type,,,1.2,4.28,112,23.3,2.28,197,,,,,,0.766
Acacia verniciflua,,shrub tree,perennial,woody,legume,dry,AusTraits consensus,brown,,8,10.6,126,62.3,9.51,369,,4.44,2,56.8,4.3,0.697
Agrostis capillaris,,graminoid,perennial,herbaceous,caryopsis,dry,Inferred from fruit type,,,0.5,0.07713588465517143,35.50989831894268,41.2,2.24,,,,,,,
Allocasuarina zephyrea,,shrub,perennial,woody,samara,dry,AusTraits consensus,black,,2,1.52,,3.91,0.943,0.785,,3.35,1.96,,,
Asparagus scandens,,climber_herbaceous,perennial,herbaceous,berry,fleshy,Inferred from fruit type,red,,2,,,8.66,0.866,,,3,3,5.92,5.92,
Asplenium gracillimum,,fern,perennial,herbaceous,,,,,,1.2,,,89.4,,,,,,,,
Berkheya rigida,,herb,perennial,semi-woody,achene,dry,Inferred from fruit type,,,0.8,,,63.4,28.3,,,,,2.3,,
Blechnum chambersii,,fern,perennial,herbaceous,,,,,terrestrial,0.2,,,14.1,1.41,1180,,,,,,
Blechnum patersonii,,fern,perennial,herbaceous,,,,,,,,61.7,51,15,2090,,,,,,
Caladenia mentiens,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.16,,,52,1.02,,,,,,,
Callitriche brachycarpa,,herb,annual,herbaceous,mericarp nutlet,dry,AusTraits consensus,brown,terrestrial,,,,3.35,1.87,,,0.8,0.7,0.775,1.02,
Cardamine flexuosa,,herb,annual perennial,herbaceous,silique,dry,Inferred from fruit type,,,0.5,0.12503211017514979,22.92083950131805,42.4,,,,1.1,,15.8,1.22,
Cardamine lilacina,,herb,annual perennial,herbaceous,silique,dry,AusTraits consensus,,,0.5,0.556,51.5,86.6,24.5,78.5,,1.56,0.471,20.9,1.53,
Chiloglottis cornuta,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.04,,,59.2,19.4,2200,,,,,,
Chiloglottis valida,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.07,0.001,,52.3,23.8,,,,,,,
Clematis vitalba,,climber_woody,perennial,woody,achene,dry,Inferred from fruit type,brown,terrestrial,,2.115239472079286,41.43294572904316,49.3,20,,,,,3.87,1.94,
Collomia linearis,,herb,annual,herbaceous,capsule,dry,Inferred from fruit type,,,0.3,1.25,,,,,,,,,,
Austroderia richardii,,graminoid,perennial,herbaceous,caryopsis,dry,Inferred from fruit type,,,3,0.7673077,202.99975366501678,1000,14.1,,,,,,,
Corunastylis archeri,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.25,,,122,,1190,,,,,,
Cyathea cunninghamii,,fern,perennial,herbaceous,,,,,terrestrial,20,,74.9505248010725,150,20,,,,,,,
Cyathea x marcescens,,fern,perennial,herbaceous,,,,,,9,,,312,30,,,,,,,
Cynosurus cristatus,,graminoid,perennial,herbaceous,caryopsis,dry,Inferred from fruit type,,,0.8,0.37207542076215194,42.127694930928534,135,1.74,,,,,,,
Cytisus scoparius,,shrub,perennial,woody,legume,dry,Inferred from fruit type,,,2.5,8.111985717515577,52.403492492031155,10,3.46,,,2.96,2.24,36.8,9.55,
Dichelachne rara,,graminoid,perennial,herbaceous,caryopsis,dry,AusTraits consensus,,,1.3,0.363,,87.4,2.18,7.85,,3.07,1.2,2.09,,
Diplazium australe,,fern,perennial,herbaceous,,,,,terrestrial,2,,22,52.3,4.47,,27.7,,,,,
Epilobium pallidiflorum,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,,1,0.0818,,48.2,6.86,,,0.565,0.1,68.9,,
Erophila verna,,herb,annual,herbaceous,silique,dry,Inferred from fruit type,,,0.2,,,10.7,,,,0.424,,5.6,2,
Lolium arundinaceum,,graminoid,perennial,herbaceous,caryopsis,dry,Inferred from fruit type,,,2,1.7043369079164181,44.995879497697764,196,6.4,171,,,,,,
Hedycarya angustifolia,,shrub tree,perennial,woody,compound_fruit_other drupe,fleshy,AusTraits consensus,orange yellow,,10,12.2,69.3,79.2,34.7,2890,20,1.66,1.5,6.93,6.93,0.325
Holcus mollis,,graminoid,perennial,herbaceous,caryopsis,dry,Inferred from fruit type,,,1,0.32574231726137953,27.013366198341615,110,5.28,,,,,,,
Hiya distans,,fern,perennial,herbaceous,,,,,terrestrial,0.4,,,24.6,9.6,,,,,,,
Hypolepis glandulifera,,fern,perennial,herbaceous,,,,,terrestrial,3,,,44,45.1,,,,,,,
Isotoma fluviatilis,,herb,perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.1,0.0404,28.1,7.05,3.49,75.4,,0.457,0.312,4.19,2.12,
Juncus acutiflorus,,graminoid,perennial,herbaceous,capsule,dry,Inferred from fruit type,brown red yellow,,1,0.014395416529318639,108.6690758914881,224,1.87,,,0.447,,3.02,,
Juncus amabilis,,graminoid,perennial,herbaceous,capsule,dry,AusTraits consensus,brown red yellow,,1.2,0.00894,,,,2380,,0.4,0.2,2.24,,
Juncus filicaulis,,graminoid,perennial,herbaceous,capsule,dry,AusTraits consensus,brown red yellow,,0.45,,,,,424,,0.4,0.2,2.28,,
Lastreopsis acuminata,,fern,perennial,herbaceous,,,,,terrestrial,0.6,,,387,134,5300,,,,,,
Althenia bilocularis,,herb,annual perennial,herbaceous,nutlet,dry,AusTraits consensus,,aquatic,0.15,,,22,0.316,,,1.5,0.4,1.12,,
Leptinella filicula,,herb,perennial,herbaceous,achene,dry,AusTraits consensus,brown,,0.1,0.245,,31.6,9.49,589,,1.6,0.604,1.73,0.837,
Lepyrodia muelleri,,graminoid,perennial,herbaceous,capsule,dry,AusTraits consensus,,,0.75,0.0924,,8.32,,,,0.7,,1.64,,
Lotus uliginosus,,herb,perennial,herbaceous,legume,dry,Inferred from fruit type,brown,,0.8,1,36.8,10.8,5.98,,37.3,1,,22.9,1.73,
Lupinus arboreus,,shrub,perennial,woody,legume,dry,Inferred from fruit type,,,2.5,32.72008815714271,119.13941345076758,22.9,5.48,,,4.9,,63.2,9.8,
Microtis oblonga,,herb,perennial,herbaceous,capsule,dry,Inferred from fruit type,,terrestrial,0.9,,,346,6.93,,,,,,,
Myosotis discolor,,herb,annual,herbaceous,mericarp,,,brown,,0.3,0.205,25.6,20.7,4.72,70.4,,,,1,,
